Country,2021_Overall score,2021_Government,2021_Technology Sector,2021_Data and Infrastructure,2022_Overall score,2022_Government,2022_Technology Sector,2022_Data and Infrastructure,2023_Overall score,2023_Government,2023_Technology Sector,2023_Data and Infrastructure,2024_Overall score,2024_Government,2024_Technology Sector,2024_Data and Infrastructure
Bangladesh,36.09945532,40.21389292,25.09883801,42.98563502,43.62840762,58.4836569,24.80179892,47.59976704,46.04283084,57.95661768,26.0675415,54.10433333,47.11916395,58.51580282,26.2564749,30.07675523
Cabo Verde,36.0725509,36.46299223,23.35131389,48.40334658,34.27404409,35.90971325,24.45425632,42.45816271,36.29975864,36.68031634,27.2354392,44.9835204,40.67090537,39.57566802,27.24891134,26.55114771
Rwanda,35.15812223,44.43941931,27.02921825,34.00572912,40.20366886,53.28252051,28.13515048,39.1933356,45.38673728,67.81789856,27.86557848,40.47673479,51.25257164,71.43819993,30.29506431,24.35896
Nigeria,35.15364591,35.53463833,26.31931877,43.60698062,39.10120996,44.90852086,23.08072301,49.31438601,39.87877496,44.93718128,24.48753788,50.21160573,43.32516864,59.87967854,27.10995893,25.81314227
Lao People's Democratic Republic,34.93069603,29.22001236,24.69076183,50.8813139,31.71862863,29.6368339,21.46088557,44.05816643,33.05352563,28.39222624,25.80687843,44.96147222,36.08236849,28.09922127,28.78902203,35.12490255
Honduras,34.91378879,30.6483746,25.58434149,48.50865028,31.04337178,26.23285731,24.83343318,42.06382484,32.63199659,25.75036011,30.13924221,42.00638744,29.83450267,24.72467904,21.76732116,21.34793801
Papua New Guinea,34.75322378,35.49750177,27.8340035,40.92816607,30.5489561,27.18948066,21.84608099,42.61130665,30.40577065,25.81542624,22.56267775,42.83920795,36.84643455,32.63870963,29.50313732,24.90052257
Pakistan,34.02797097,39.58095354,34.99819959,27.50475977,40.22052841,44.31974041,34.6735833,41.66826151,42.20012541,43.00187234,34.06842585,49.53007803,40.47235612,40.6128633,36.93722819,28.67205327
Bhutan,34.02464587,36.52318843,26.15023957,39.40050961,37.91424365,37.32929176,26.68834787,49.72509132,36.87905685,36.81041879,24.30580176,49.52095,38.77536479,34.017059,25.58034036,36.82781119
Cambodia,33.35277841,32.65941576,22.53072093,44.86819854,31.1652904,27.95633432,21.14028522,44.39925165,31.87722576,27.93028698,22.53351441,45.1678759,36.6318842,29.17988072,29.31207796,35.45259701
Namibia,33.13770727,30.49499514,22.96894607,45.94918059,34.56777823,29.16550661,26.58428787,47.95354021,35.3730031,32.01796269,28.30055396,45.80049265,33.28224969,28.5648561,25.36412174,27.80612479
United Republic of Tanzania,32.69103588,39.90270021,22.98932404,35.18108337,32.49772202,35.43252165,20.04908872,42.01155569,32.86338241,35.46428869,20.70937469,42.41648385,35.08105029,36.64384164,20.97501172,24.54213747
Togo,32.67579787,32.66993468,20.71119437,44.64626458,29.8249018,29.64963065,19.42593283,40.39914193,29.685532,29.74285396,19.9564972,39.35724484,31.31565682,31.21114596,20.81625828,18.79393633
El Salvador,32.41093072,26.1608566,23.68641565,47.38551991,30.95748673,23.33612112,22.75668492,46.77965414,32.57680248,23.7020413,26.30654392,47.72182222,34.08661079,25.49796483,26.8146817,29.06760168
Belize,32.27647959,27.9709974,22.56850821,46.28993318,29.98340518,20.66858758,24.3903524,44.89127557,34.2435614,23.44365412,29.09223307,50.19479701,37.58701156,26.7623987,30.50702101,26.9418933
Guatemala,32.25324754,24.2979924,23.28008407,49.18166615,34.92596868,29.60095971,23.07417313,52.10277321,35.75753858,29.55088346,24.94384552,52.77788675,36.4144385,28.95414311,23.69790992,38.24544431
Burkina Faso,32.24337189,35.70797369,21.31261674,39.70952525,26.20130301,27.79493174,16.47927108,34.32970619,27.49699619,27.03774441,18.19615014,37.25709402,29.27660868,25.69119633,21.21836595,19.32119775
